Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,B365>2.5,B365<2.5,B365CH,B365CD,B365CA,SourceFile,imp_prob_H,imp_prob_D,imp_prob_A,total_prob,norm_prob_H,norm_prob_D,norm_prob_A,OU_2.5
E0,2019-08-09,20:00:00,Liverpool,Norwich,4,1,H,4,0,H,M Oliver,15,12,7,5,9,9,11,2,0,2,0,0,1.14,10,19,1.4,3,1.14,9.5,21,E0_1920.csv,0.8771929824561404,0.1,0.05263157894736842,1.0298245614035089,0.8517887563884157,0.09710391822827938,0.05110732538330493,Over
E0,2019-08-10,12:30:00,West Ham,Man City,0,5,A,0,1,A,M Dean,5,14,3,9,6,13,1,1,2,2,0,0,12,6.5,1.22,1.44,2.75,12,7,1.25,E0_1920.csv,0.08333333333333333,0.15384615384615385,0.819672131147541,1.0568516183270282,0.07885055185442974,0.14557024957740877,0.7755791985681615,Over
E0,2019-08-10,15:00:00,Bournemouth,Sheffield United,1,1,D,0,0,D,K Friend,13,8,3,3,10,19,3,4,2,1,0,0,1.95,3.6,3.6,1.9,1.9,1.95,3.7,4.2,E0_1920.csv,0.5128205128205129,0.2777777777777778,0.2777777777777778,1.0683760683760686,0.48,0.25999999999999995,0.25999999999999995,Under
E0,2019-08-10,15:00:00,Burnley,Southampton,3,0,H,0,0,D,G Scott,10,11,4,3,6,12,2,7,0,0,0,0,2.62,3.2,2.75,2.1,1.72,2.7,3.25,2.9,E0_1920.csv,0.38167938931297707,0.3125,0.36363636363636365,1.0578157529493408,0.3608184017384886,0.2954200664233876,0.34376153183812375,Over
E0,2019-08-10,15:00:00,Crystal Palace,Everton,0,0,D,0,0,D,J Moss,6,10,2,3,16,14,6,2,2,1,0,1,3,3.25,2.37,2.2,1.66,3.4,3.5,2.25,E0_1920.csv,0.3333333333333333,0.3076923076923077,0.42194092827004215,1.0629665692956831,0.313587786259542,0.2894656488549619,0.3969465648854962,Under
E0,2019-08-10,15:00:00,Watford,Brighton,0,3,A,0,1,A,C Pawson,11,5,3,3,15,11,5,2,0,1,0,0,1.9,3.4,4,2.1,1.72,2.1,3.25,4.2,E0_1920.csv,0.5263157894736842,0.29411764705882354,0.25,1.0704334365325077,0.49168474331164136,0.274765003615329,0.23355025307302965,Over
E0,2019-08-10,17:30:00,Tottenham,Aston Villa,3,1,H,0,1,A,C Kavanagh,31,7,7,4,13,9,14,0,1,0,0,0,1.3,5.25,10,1.66,2.2,1.36,5.5,9,E0_1920.csv,0.7692307692307692,0.19047619047619047,0.1,1.0597069597069597,0.7258900795022467,0.1797442101624611,0.09436571033529209,Over
E0,2019-08-11,14:00:00,Leicester,Wolves,0,0,D,0,0,D,A Marriner,15,8,1,2,3,13,12,3,0,2,0,0,2.2,3.2,3.4,2.2,1.66,2.4,3.25,3.3,E0_1920.csv,0.45454545454545453,0.3125,0.29411764705882354,1.0611631016042782,0.4283464566929133,0.2944881889763779,0.27716535433070866,Under
E0,2019-08-11,14:00:00,Newcastle,Arsenal,0,1,A,0,0,D,M Atkinson,9,8,2,2,12,7,5,3,1,3,0,0,4.5,3.75,1.72,1.8,2,3.4,3.6,2.2,E0_1920.csv,0.2222222222222222,0.26666666666666666,0.5813953488372093,1.0702842377260982,0.20762916465475614,0.2491549975857074,0.5432158377595365,Under
E0,2019-08-11,16:30:00,Man United,Chelsea,4,0,H,1,0,H,A Taylor,11,18,5,7,15,13,3,5,3,4,0,0,2.1,3.3,3.5,2,1.8,2.05,3.5,4,E0_1920.csv,0.47619047619047616,0.30303030303030304,0.2857142857142857,1.064935064935065,0.4471544715447154,0.2845528455284553,0.26829268292682923,Over
